id,neighbourhood,district,property_type,room_type,accommodates,n_bathrooms,bedrooms,beds,price,wifi,kitchen,parking,balcony,bbq,washer,host_email,host_phone,host_work_email,longitude,latitude
18727771,südliche Luisenstadt,Friedrichshain-Kreuzberg,Private room in condo,Private room,1,0.0,1.0,1.0,25.0,1,1,0,0,0,1,1,1,0,13.42809,52.49864
7018939,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,Entire rental unit,Entire home/apt,2,2.0,1.0,1.0,95.0,1,1,1,0,0,0,1,1,0,13.37953,52.48693
3866359,Schillerpromenade,Neukölln,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,69.0,1,1,1,0,0,1,1,1,1,13.4248,52.47063
13529739,Prenzlauer Berg Nord,Pankow,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,48.0,1,1,0,0,0,1,1,1,0,13.42564,52.55264
29448760,Helmholtzplatz,Pankow,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,130.0,1,1,0,1,0,1,1,1,0,13.41504,52.54159
6211752,Schöneberg-Süd,Tempelhof - Schöneberg,Private room in rental unit,Private room,2,1.5,1.0,1.0,29.0,1,1,0,0,0,1,1,1,0,13.35925,52.48413
12239313,Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,38.0,1,1,1,0,0,1,1,1,0,13.46252,52.49863
18715135,Neuköllner Mitte/Zentrum,Neukölln,Private room in rental unit,Private room,3,1.0,2.0,2.0,55.0,1,1,0,0,0,1,1,1,0,13.43841,52.46487
49947938,Helmholtzplatz,Pankow,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,111.0,1,1,0,1,0,1,1,1,1,13.42043,52.54413
12249699,Friedenau,Tempelhof - Schöneberg,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,100.0,1,1,0,0,0,1,1,1,0,13.33809,52.46781
49083205,Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,Entire serviced apartment,Entire home/apt,4,1.0,1.0,2.0,424.0,1,1,0,1,0,1,1,1,0,13.46052,52.50934
